date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2017-05-30,153.67,154.43,153.33,153.42,20034934,36.3619456777233,36.5417795992114,36.2814936602155,36.302789782497,80139736,0.0,1.0
2017-05-31,152.76,154.17,152.38,153.97,23162873,36.1466182190995,36.480257468176,36.0567012583554,36.4329327519949,92651492,0.0,1.0
2017-06-01,153.18,153.33,152.22,153.17,16180143,36.2460001230797,36.2814936602155,36.0188414854106,36.2436338872706,64720572,0.0,1.0
2017-06-02,155.45,155.45,152.89,153.58,27285861,36.7831356517348,36.7831356517348,36.1773792846171,36.3406495554418,109143444,0.0,1.0
2017-06-05,153.93,154.45,153.46,154.34,24803858,36.4234678087587,36.5465120708295,36.3122547257332,36.5204834769299,99215432,0.0,1.0
2017-06-06,154.45,155.81,153.78,153.9,26249630,36.5465120708295,36.8683201408607,36.3879742716229,36.4163691013315,104998520,0.0,1.0
2017-06-07,155.37,155.98,154.48,155.02,20678772,36.7642057652624,36.9085461496146,36.5536107782566,36.6813875119455,82715088,0.0,1.0
2017-06-08,154.99,155.54,154.4,155.25,20771367,36.6742888045184,36.8044317740163,36.5346808917842,36.7358109355537,83085468,0.0,1.0
2017-06-09,148.98,155.19,146.02,155.19,64882700,35.2521810832773,36.7216135206994,34.5517752837975,36.7216135206994,259530800,0.0,1.0
2017-06-12,145.42,146.09,142.51,145.74,71563614,34.4098011352543,34.5683389344608,33.7212265148197,34.485520681144,286254456,0.0,1.0
2017-06-13,146.59,147.45,145.15,147.16,33749154,34.6866507249135,34.8901470044921,34.3459127684098,34.8215261660296,134996616,0.0,1.0
2017-06-14,145.16,147.5,143.84,147.5,31224203,34.3482790042189,34.9019781835374,34.0359358774238,34.9019781835374,124896812,0.0,1.0
2017-06-15,144.29,144.4798,142.21,143.32,31348832,34.1424164888312,34.1873276444871,33.6502394405481,33.9128916153531,125395328,0.0,1.0
2017-06-16,142.27,144.5,142.2,143.78,49180748,33.6644368554025,34.1921074408214,33.6478732047391,34.0217384625695,196722992,0.0,1.0
2017-06-19,146.34,146.74,143.66,143.66,31449132,34.6274948296872,34.7221442620493,33.9933436328609,33.9933436328609,125796528,0.0,1.0
2017-06-20,145.01,146.87,144.94,146.87,24572170,34.3127854670831,34.752905327567,34.2962218164197,34.752905327567,98288680,0.0,1.0
2017-06-21,145.87,146.0693,144.61,145.52,21064679,34.5162817466617,34.5634408263361,34.2181360347209,34.4334634933448,84258716,0.0,1.0
2017-06-22,145.63,146.7,145.1199,145.77,18673365,34.4594920872444,34.7126793188131,34.3387903986246,34.4926193885711,74693460,0.0,1.0
2017-06-23,146.28,147.16,145.11,145.13,25997976,34.6132974148329,34.8215261660296,34.3364478251736,34.3411802967917,103991904,0.0,1.0
2017-06-26,145.82,148.28,145.38,147.17,25524661,34.5044505676164,35.0865445766435,34.4003361920181,34.8238924018386,102098644,0.0,1.0
2017-06-27,143.73,146.16,143.62,145.01,24423643,34.0099072835242,34.5849025851242,33.9838786896247,34.3127854670831,97694572,0.0,1.0
2017-06-28,145.83,146.11,143.1601,144.49,21915939,34.5068168034255,34.573071406079,33.8750555047663,34.1897412050123,87663756,0.0,1.0
2017-06-29,143.68,145.13,142.28,144.71,31116980,33.998076104479,34.3411802967917,33.6668030912115,34.2417983928115,124467920,0.0,1.0
2017-06-30,144.02,144.96,143.78,144.45,22328979,34.0785281219868,34.3009542880378,34.0217384625695,34.1802762617761,89315916,0.0,1.0
2017-07-03,143.5,145.3,143.1,144.88,14258300,33.955483859916,34.3814063055456,33.8608344275539,34.2820244015654,57033200,0.0,1.0
2017-07-05,144.09,144.79,142.7237,143.69,20758795,34.0950917726502,34.2607282792839,33.7717929740592,34.000442340288,83035180,0.0,1.0
2017-07-06,142.73,143.5,142.41,143.02,23374374,33.7732837026189,33.955483859916,33.6975641567292,33.8419045410815,93497496,0.0,1.0
2017-07-07,144.18,144.75,142.9,142.9,18505351,34.1163878949317,34.2512633360477,33.8135097113728,33.8135097113728,74021404,0.0,1.0
2017-07-10,145.06,145.95,143.37,144.11,21030466,34.3246166461283,34.5352116331341,33.9247227943983,34.0998242442683,84121864,0.0,1.0
2017-07-11,145.53,145.85,144.38,144.73,18311156,34.4358297291539,34.5115492750436,34.1637126111127,34.2465308644296,73244624,0.0,1.0
2017-07-12,145.74,146.18,144.82,145.87,23617964,34.485520681144,34.5896350567423,34.2678269867111,34.5162817466617,94471856,0.0,1.0
2017-07-13,147.77,148.49,145.44,145.5,24922788,34.9658665503818,35.1362355286337,34.4145336068724,34.4287310217267,99691152,0.0,1.0
2017-07-14,149.04,149.33,147.33,147.97,19961788,35.2663784981316,35.3349993365941,34.8617521747835,35.0131912665629,79847152,0.0,1.0
2017-07-17,149.56,150.9,148.57,148.82,23243713,35.3894227602024,35.7064983586155,35.1551654151061,35.2143213103324,92974852,0.0,1.0
2017-07-18,150.08,150.13,148.67,149.2,17713795,35.5124670222731,35.5242982013184,35.1788277731966,35.3042382710764,70855180,0.0,1.0
2017-07-19,151.02,151.42,149.95,150.48,20615419,35.7348931883242,35.8295426206863,35.4817059567554,35.6071164546353,82461676,0.0,1.0
2017-07-20,150.34,151.74,150.19,151.5,17053326,35.5739891533085,35.905262166576,35.5384956161727,35.8484725071587,68213304,0.0,1.0
2017-07-21,150.27,150.44,148.88,149.99,24671002,35.5574255026452,35.5976515113991,35.2285187251867,35.4911708999917,98684008,0.0,1.0
2017-07-24,152.09,152.44,149.9,150.58,21122730,35.9880804198929,36.0708986732097,35.4698747777102,35.6307788127258,84490920,0.0,1.0
2017-07-25,152.74,153.84,151.8,151.8,18612649,36.1418857474813,36.4021716864772,35.9194595814303,35.9194595814303,74450596,0.0,1.0
2017-07-26,153.46,153.93,153.06,153.35,15172136,36.3122547257332,36.4234678087587,36.2176052933711,36.2862261318336,60688544,0.0,1.0
2017-07-27,150.56,153.99,147.3,153.75,32175875,35.6260463411077,36.437665223613,34.8546534673563,36.3808755641957,128703500,0.0,1.0
