date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2017-07-24,145.99,147.04,145.8,147.0,3818232,110.17810872532,110.970539810748,110.034716433671,110.940351959874,3993870,0.0,1.0
2017-07-25,146.19,147.49,146.03,146.57,4184435,110.329047979687,111.310153133074,110.208296576193,110.615832562985,4376919,0.0,1.0
2017-07-26,145.36,146.46,144.47,146.27,3806651,109.702650074063,110.532815973083,109.030970392129,110.389423681434,3981756,0.0,1.0
2017-07-27,145.07,145.395,143.64,145.0,6374650,109.483788155231,109.729064443578,108.404572486506,109.430959416202,6667883,0.0,1.0
2017-07-28,144.29,145.04,143.84,144.81,3022662,108.895125063199,109.461147267076,108.555511740873,109.287567124554,3161704,0.0,1.0
2017-07-31,144.67,144.93,144.17,144.38,4333680,109.181909646496,109.378130677174,108.804561510579,108.963047727664,4533029,0.0,1.0
2017-08-01,145.3,145.67,144.72,145.0,3197848,109.657368297753,109.936605918332,109.219644460088,109.430959416202,3344949,0.0,1.0
2017-08-02,144.45,145.29,144.22,145.12,3400024,109.015876466693,109.649821335035,108.84229632417,109.521522968823,3556425,0.0,1.0
2017-08-03,144.94,145.34,144.43,144.43,3028769,109.385677639892,109.687556148627,109.000782541256,109.000782541256,3168092,0.0,1.0
2017-08-04,145.16,145.39,144.4,145.0,2542800,109.551710819696,109.725290962218,108.978141653101,109.430959416202,2659768,0.0,1.0
2017-08-07,143.47,145.09,142.75,145.0,4576508,108.276274120293,109.498882080668,107.732892804572,109.430959416202,4787027,0.0,1.0
2017-08-08,142.11,142.76,142.0,142.0,3281972,108.38193159835,108.877662057424,108.29803875143,108.29803875143,3432942,1.5,1.0
2017-08-09,141.77,142.03,141.19,141.75,2920582,108.122626435143,108.320918618772,107.6802823332,108.107373190248,3054928,0.0,1.0
2017-08-10,141.84,142.42,141.23,141.64,4378186,108.176012792274,108.618356894216,107.710788822989,108.023480343328,4579582,0.0,1.0
2017-08-11,141.84,142.59,141.52,142.45,3004040,108.176012792274,108.74800947582,107.931960873961,108.641236761558,3142225,0.0,1.0
2017-08-14,142.32,142.76,141.94,142.0,2222304,108.542090669743,108.877662057424,108.252279016747,108.29803875143,2324529,0.0,1.0
2017-08-15,142.07,143.34,140.58,142.55,4652618,108.351425108561,109.320006159366,107.215058363916,108.717502986031,4866638,0.0,1.0
2017-08-16,142.5,142.91,141.61,141.79,3239516,108.679369873795,108.992061394133,108.000600475986,108.137879680037,3388533,0.0,1.0
2017-08-17,140.7,142.89,140.7,142.52,4342286,107.306577833283,108.976808149239,107.306577833283,108.694623118689,4542031,0.0,1.0
2017-08-18,139.7,141.15,139.58,140.87,4128761,106.543915588555,107.649775843411,106.452396119188,107.436230414887,4318684,0.0,1.0
2017-08-21,140.33,140.42,139.13,139.59,2949410,107.024392802734,107.093032404759,106.10919810906,106.460022741635,3085082,0.0,1.0
2017-08-22,141.01,141.15,140.38,140.64,2495902,107.543003129149,107.649775843411,107.06252591497,107.2608180986,2610713,0.0,1.0
2017-08-23,142.14,143.05,140.68,140.7,4035421,108.404811465692,109.098834108395,107.291324588389,107.306577833283,4221050,0.0,1.0
2017-08-24,142.94,143.68,142.25,142.5,3580245,109.014941261475,109.579311322574,108.488704312612,108.679369873795,3744936,0.0,1.0
2017-08-25,143.74,144.19,143.25,143.3,2866131,109.625071057258,109.968269067385,109.251366557341,109.289499669577,2997973,0.0,1.0
2017-08-28,142.51,144.56,142.39,144.11,5086015,108.686996496242,110.250454097935,108.595477026874,109.907256087807,5319971,0.0,1.0
2017-08-29,143.14,143.425,141.9,142.1,3000993,109.167473710421,109.384832450168,108.221772526958,108.374304975903,3139038,0.0,1.0
2017-08-30,142.56,143.28,142.41,143.26,2715466,108.725129608478,109.274246424683,108.610730271769,109.258993179788,2840377,0.0,1.0
2017-08-31,143.03,143.66,142.63,143.02,3614517,109.083580863501,109.564058077679,108.778515965609,109.075954241053,3780784,0.0,1.0
2017-09-01,144.08,144.5,142.98,142.98,3348503,109.884376220465,110.204694363251,109.045447751264,109.045447751264,3502534,0.0,1.0
